Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
25,1,49,541,4,1.6,1,0,0,1,0,0,0
45,19,34,466,3,1.5,1,0,0,1,0,0,0
39,15,11,601,1,1.0,1,0,0,0,0,0,0
35,9,100,149,1,2.7,2,0,0,0,0,0,0
35,8,45,567,4,1.0,2,0,0,0,0,0,1
37,13,29,337,4,0.4,2,1,0,0,0,1,0
53,27,72,341,2,1.5,2,0,0,0,0,1,0
50,24,22,524,1,0.3,3,0,0,0,0,0,1
35,10,81,466,3,0.6,2,1,0,0,0,1,0
34,9,150,257,1,5.0,3,0,1,0,0,0,0
65,39,105,308,4,2.4,3,0,0,0,0,0,0
29,5,45,419,3,0.1,2,0,0,0,0,1,0
48,23,114,496,2,3.8,3,0,0,1,0,0,0
59,32,40,251,4,2.5,2,0,0,0,0,1,0
67,41,112,208,1,2.0,1,0,0,1,0,0,0
60,30,22,581,1,1.5,3,0,0,0,0,1,1
38,14,130,134,4,4.7,3,1,1,0,0,0,0
42,18,81,565,4,2.4,1,0,0,0,0,0,0
46,21,150,300,2,5.0,3,0,1,0,0,0,0
55,28,21,601,1,0.5,2,0,0,1,0,0,1
56,31,25,111,4,0.9,2,1,0,0,0,1,0
57,27,63,329,3,2.0,3,0,0,0,0,1,0
29,5,62,419,1,1.2,1,1,0,0,0,1,0
44,18,43,582,2,0.7,1,1,0,1,0,0,0
36,11,150,229,2,3.9,1,1,0,0,0,0,1
43,19,29,565,3,0.5,1,1,0,0,0,1,0
40,16,83,509,4,0.2,3,0,0,0,0,0,0
46,20,150,167,1,2.4,1,0,0,0,0,1,1
56,30,48,287,1,2.2,3,0,0,0,0,1,1
38,13,119,333,1,3.3,2,0,1,0,1,1,1
59,35,35,496,1,1.2,3,1,0,0,0,1,0
40,16,29,366,1,2.0,2,0,0,0,0,1,0
53,28,41,276,2,0.6,3,1,0,0,0,0,0
30,6,18,567,3,0.9,3,0,0,0,0,0,0
31,5,50,263,4,1.8,3,0,0,0,0,1,0
48,24,81,174,3,0.7,1,0,0,0,0,0,0
59,35,121,601,1,2.9,1,0,0,0,0,0,1
51,25,71,421,1,1.4,3,1,0,0,0,0,0
42,18,141,372,3,5.0,3,0,1,1,1,1,0
38,13,80,308,4,0.7,3,1,0,0,0,1,0
57,32,84,431,3,1.6,3,0,0,1,0,0,0
34,9,60,325,3,2.3,1,0,0,0,0,0,0
32,7,132,412,4,1.1,2,1,1,0,0,1,0
39,15,45,483,1,0.7,1,0,0,0,0,1,0
46,20,104,505,1,5.0,1,0,0,0,0,1,1
57,31,52,601,4,2.5,1,0,0,0,0,0,1
39,14,43,400,3,0.7,2,1,0,0,0,1,0
37,12,150,229,4,0.2,3,1,1,1,1,1,1
56,26,81,149,2,4.5,3,0,0,0,0,0,1
40,16,49,415,1,1.8,1,0,0,0,0,0,1
32,8,8,464,4,0.7,2,0,0,1,0,1,0
61,37,131,601,1,2.9,1,0,0,0,0,1,0
30,6,72,280,1,0.1,1,1,0,0,0,0,0
50,26,150,461,3,2.1,3,1,1,0,0,1,0
29,5,44,422,1,0.2,3,0,0,0,0,1,0
41,17,139,185,2,5.0,1,0,0,0,0,1,0
55,30,29,280,3,0.1,2,0,0,1,1,1,0
56,31,131,483,2,1.2,3,0,1,0,0,0,0
28,2,93,505,2,0.2,1,0,0,0,0,0,0
31,5,150,582,2,4.5,1,1,0,0,0,0,0
49,24,39,148,3,1.7,2,0,0,1,0,1,0
47,21,125,164,1,5.0,1,1,0,1,0,0,0
42,18,22,466,1,1.0,1,0,0,0,0,0,0
42,17,32,334,4,0.0,2,0,0,0,0,1,0
47,23,105,400,2,3.3,1,0,0,0,0,0,0
59,35,131,146,1,3.8,1,0,0,0,0,1,1
62,36,105,336,2,2.8,1,1,0,0,0,0,0
53,23,45,156,4,2.0,3,1,0,1,0,0,0
47,21,60,164,3,2.1,1,0,0,0,0,1,1
53,29,20,455,4,0.2,1,0,0,0,0,1,0
42,18,115,178,1,3.5,1,0,0,0,0,0,1
53,29,69,151,4,1.0,2,0,0,0,0,1,0
44,20,130,184,1,5.0,1,0,0,0,0,0,1
41,16,85,0,1,4.0,3,0,0,0,0,1,1
28,3,135,0,2,3.3,1,0,0,0,0,0,1
31,7,135,0,4,3.8,2,0,1,0,1,1,1
58,32,12,582,3,0.3,3,0,0,0,0,0,0
46,20,29,259,3,0.5,2,0,0,0,0,0,0
54,30,133,283,2,2.6,3,0,1,0,0,0,0
50,26,19,601,2,0.4,1,1,0,0,0,1,0
60,36,41,268,4,1.3,1,1,0,0,0,1,1
47,22,40,0,3,2.7,2,0,0,0,0,1,0
41,16,82,241,1,4.0,3,0,0,0,0,1,0
33,9,50,565,1,2.4,2,0,0,0,0,0,0
46,22,18,249,1,0.9,3,0,0,0,0,1,0
27,2,109,280,4,1.8,3,0,0,0,0,0,0
40,16,42,394,4,2.2,2,1,0,0,0,0,0
48,22,78,565,3,1.1,1,0,0,0,0,1,0
65,41,51,366,2,1.1,1,0,0,0,0,1,0
